Time (s),EMG_Value
0,0
0.1,0.005
0.2,0.01
0.3,0.015
0.4,0.02
0.5,0.025
0.6,0.03
0.7,0.035
0.8,0.04
0.9,0.045
1,0.05
1.1,0.05
1.2,0.05
1.3,0.05
1.4,0.05
1.5,0.05
1.6,0.0475
1.7,0.045
1.8,0.0425
1.9,0.04
2,0.0375
2.1,0.035
2.2,0.0325
2.3,0.03
2.4,0.0275
2.5,0.025
2.6,0.03
2.7,0.035
2.8,0.04
2.9,0.045
3,0.05
3.1,0.045
3.2,0.04
3.3,0.035
3.4,0.03
3.5,0.025
3.6,0.02
3.7,0.015
3.8,0.01
3.9,0.005
4,0
4.1,0.025
4.2,0.05
4.3,0.075
4.4,0.1
4.5,0.125
4.6,0.15
4.7,0.175
4.8,0.2
4.9,0.225
5,0.25
5.1,0.25
5.2,0.25
5.3,0.25
5.4,0.25
5.5,0.25
5.6,0.2375
5.7,0.225
5.8,0.2125
5.9,0.2
6,0.1875
6.1,0.175
6.2,0.1625
6.3,0.15
6.4,0.1375
6.5,0.125
6.6,0.15
6.7,0.175
6.8,0.2
6.9,0.225
7,0.25
7.1,0.225
7.2,0.2
7.3,0.175
7.4,0.15
7.5,0.125
7.6,0.1
7.7,0.075
7.8,0.05
7.9,0.025
8,0
8.1,0.05
8.2,0.1
8.3,0.15
8.4,0.2
8.5,0.25
8.6,0.3
8.7,0.35
8.8,0.4
8.9,0.45
9,0.5
9.1,0.5
9.2,0.5
9.3,0.5
9.4,0.5
9.5,0.5
9.6,0.475
9.7,0.45
9.8,0.425
9.9,0.4
10,0.375
10.1,0.35
10.2,0.325
10.3,0.3
10.4,0.275
10.5,0.25
10.6,0.3
10.7,0.35
10.8,0.4
10.9,0.45
11,0.5
11.1,0.45
11.2,0.4
11.3,0.35
11.4,0.3
11.5,0.25
11.6,0.2
11.7,0.15
11.8,0.1
11.9,0.05
12,0
12.1,0.075
12.2,0.15
12.3,0.225
12.4,0.3
12.5,0.375
12.6,0.45
12.7,0.525
12.8,0.6
12.9,0.675
13,0.75
13.1,0.75
13.2,0.75
13.3,0.75
13.4,0.75
13.5,0.75
13.6,0.7125
13.7,0.675
13.8,0.6375
13.9,0.6
14,0.5625
14.1,0.525
14.2,0.4875
14.3,0.45
14.4,0.4125
14.5,0.375
14.6,0.45
14.7,0.525
14.8,0.6
14.9,0.675
15,0.75
15.1,0.675
15.2,0.6
15.3,0.525
15.4,0.45
15.5,0.375
15.6,0.3
15.7,0.225
15.8,0.15
15.9,0.075
16,0
16.1,0.1
16.2,0.2
16.3,0.3
16.4,0.4
16.5,0.5
16.6,0.6
16.7,0.7
16.8,0.8
16.9,0.9
17,1
17.1,1
17.2,1
17.3,1
17.4,1
17.5,1
17.6,0.95
17.7,0.9
17.8,0.85
17.9,0.8
18,0.75
18.1,0.7
18.2,0.65
18.3,0.6
18.4,0.55
18.5,0.5
18.6,0.6
18.7,0.7
18.8,0.8
18.9,0.9
19,1
19.1,0.9
19.2,0.8
19.3,0.7
19.4,0.6
19.5,0.5
19.6,0.4
19.7,0.3
19.8,0.2
19.9,0.1
20,0
20.1,0
20.2,0
20.3,0
20.4,0
20.5,0
20.6,0
20.7,0
20.8,0
20.9,0
21,0
21.1,0
21.2,0
21.3,0
21.4,0
21.5,0
21.6,0
21.7,0
21.8,0
21.9,0
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
22.6,0
22.7,0
22.8,0
22.9,0
23,0
23.1,0
23.2,0
23.3,0
23.4,0
23.5,0
23.6,0
23.7,0
23.8,0
23.9,0
24,0
24.1,0
24.2,0
24.3,0
24.4,0
24.5,0
24.6,0
24.7,0
24.8,0
24.9,0
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0.005
28.2,0.01
28.3,0.015
28.4,0.02
28.5,0.025
28.6,0.03
28.7,0.035
28.8,0.04
28.9,0.045
29,0.05
29.1,0.05
29.2,0.05
29.3,0.05
29.4,0.05
29.5,0.05
29.6,0.0475
29.7,0.045
29.8,0.0425
29.9,0.04
30,0.0375
30.1,0.035
30.2,0.0325
30.3,0.03
30.4,0.0275
30.5,0.025
30.6,0.03
30.7,0.035
30.8,0.04
30.9,0.045
31,0.05
31.1,0.045
31.2,0.04
31.3,0.035
31.4,0.03
31.5,0.025
31.6,0.02
31.7,0.015
31.8,0.01
31.9,0.005
32,0
32.1,0.005
32.2,0.01
32.3,0.015
32.4,0.02
32.5,0.025
32.6,0.03
32.7,0.035
32.8,0.04
32.9,0.045
33,0.05
33.1,0.05
33.2,0.05
33.3,0.05
33.4,0.05
33.5,0.05
33.6,0.0475
33.7,0.045
33.8,0.0425
33.9,0.04
34,0.0375
34.1,0.035
34.2,0.0325
34.3,0.03
34.4,0.0275
34.5,0.025
34.6,0.03
34.7,0.035
34.8,0.04
34.9,0.045
35,0.05
35.1,0.045
35.2,0.04
35.3,0.035
35.4,0.03
35.5,0.025
35.6,0.02
35.7,0.015
35.8,0.01
35.9,0.005
36,0
36.1,0.015
36.2,0.03
36.3,0.045
36.4,0.06
36.5,0.075
36.6,0.09
36.7,0.105
36.8,0.12
36.9,0.135
37,0.15
37.1,0.15
37.2,0.15
37.3,0.15
37.4,0.15
37.5,0.15
37.6,0.1425
37.7,0.135
37.8,0.1275
37.9,0.12
38,0.1125
38.1,0.105
38.2,0.0975
38.3,0.09
38.4,0.0825
38.5,0.075
38.6,0.09
38.7,0.105
38.8,0.12
38.9,0.135
39,0.15
39.1,0.135
39.2,0.12
39.3,0.105
39.4,0.09
39.5,0.075
39.6,0.06
39.7,0.045
39.8,0.03
39.9,0.015
40,0
40.1,0.015
40.2,0.03
40.3,0.045
40.4,0.06
40.5,0.075
40.6,0.09
40.7,0.105
40.8,0.12
40.9,0.135
41,0.15
41.1,0.15
41.2,0.15
41.3,0.15
41.4,0.15
41.5,0.15
41.6,0.1425
41.7,0.135
41.8,0.1275
41.9,0.12
42,0.1125
42.1,0.105
42.2,0.0975
42.3,0.09
42.4,0.0825
42.5,0.075
42.6,0.09
42.7,0.105
42.8,0.12
42.9,0.135
43,0.15
43.1,0.135
43.2,0.12
43.3,0.105
43.4,0.09
43.5,0.075
43.6,0.06
43.7,0.045
43.8,0.03
43.9,0.015
44,0
44.1,0.015
44.2,0.03
44.3,0.045
44.4,0.06
44.5,0.075
44.6,0.09
44.7,0.105
44.8,0.12
44.9,0.135
45,0.15
45.1,0.15
45.2,0.15
45.3,0.15
45.4,0.15
45.5,0.15
45.6,0.1425
45.7,0.135
45.8,0.1275
45.9,0.12
46,0.1125
46.1,0.105
46.2,0.0975
46.3,0.09
46.4,0.0825
46.5,0.075
46.6,0.09
46.7,0.105
46.8,0.12
46.9,0.135
47,0.15
47.1,0.135
47.2,0.12
47.3,0.105
47.4,0.09
47.5,0.075
47.6,0.06
47.7,0.045
47.8,0.03
47.9,0.015
48,0
48.1,0.005
48.2,0.01
48.3,0.015
48.4,0.02
48.5,0.025
48.6,0.03
48.7,0.035
48.8,0.04
48.9,0.045
49,0.05
49.1,0.05
49.2,0.05
49.3,0.05
49.4,0.05
49.5,0.05
49.6,0.0475
49.7,0.045
49.8,0.0425
49.9,0.04
50,0.0375
50.1,0.035
50.2,0.0325
50.3,0.03
50.4,0.0275
50.5,0.025
50.6,0.03
50.7,0.035
50.8,0.04
50.9,0.045
51,0.05
51.1,0.045
51.2,0.04
51.3,0.035
51.4,0.03
51.5,0.025
51.6,0.02
51.7,0.015
51.8,0.01
51.9,0.005
0,0
0.1,0.005
0.2,0.01
0.3,0.015
0.4,0.02
0.5,0.025
0.6,0.03
0.7,0.035
0.8,0.04
0.9,0.045
1,0.05
1.1,0.05
1.2,0.05
1.3,0.05
1.4,0.05
1.5,0.05
1.6,0.0475
1.7,0.045
1.8,0.0425
1.9,0.04
2,0.0375
2.1,0.035
2.2,0.0325
2.3,0.03
2.4,0.0275
2.5,0.025
2.6,0.03
2.7,0.035
2.8,0.04
2.9,0.045
3,0.05
3.1,0.045
3.2,0.04
3.3,0.035
3.4,0.03
3.5,0.025
3.6,0.02
3.7,0.015
3.8,0.01
3.9,0.005
4,0
4.1,0.025
4.2,0.05
4.3,0.075
4.4,0.1
4.5,0.125
4.6,0.15
4.7,0.175
4.8,0.2
4.9,0.225
5,0.25
5.1,0.25
5.2,0.25
5.3,0.25
5.4,0.25
5.5,0.25
5.6,0.2375
5.7,0.225
5.8,0.2125
5.9,0.2
6,0.1875
6.1,0.175
6.2,0.1625
6.3,0.15
6.4,0.1375
6.5,0.125
6.6,0.15
6.7,0.175
6.8,0.2
6.9,0.225
7,0.25
7.1,0.225
7.2,0.2
7.3,0.175
7.4,0.15
7.5,0.125
7.6,0.1
7.7,0.075
7.8,0.05
7.9,0.025
8,0
8.1,0.05
8.2,0.1
8.3,0.15
8.4,0.2
8.5,0.25
8.6,0.3
8.7,0.35
8.8,0.4
8.9,0.45
9,0.5
9.1,0.5
9.2,0.5
9.3,0.5
9.4,0.5
9.5,0.5
9.6,0.475
9.7,0.45
9.8,0.425
9.9,0.4
10,0.375
10.1,0.35
10.2,0.325
10.3,0.3
10.4,0.275
10.5,0.25
10.6,0.3
10.7,0.35
10.8,0.4
10.9,0.45
11,0.5
11.1,0.45
11.2,0.4
11.3,0.35
11.4,0.3
11.5,0.25
11.6,0.2
11.7,0.15
11.8,0.1
11.9,0.05
12,0
12.1,0.075
12.2,0.15
12.3,0.225
12.4,0.3
12.5,0.375
12.6,0.45
12.7,0.525
12.8,0.6
12.9,0.675
13,0.75
13.1,0.75
13.2,0.75
13.3,0.75
13.4,0.75
13.5,0.75
13.6,0.7125
13.7,0.675
13.8,0.6375
13.9,0.6
14,0.5625
14.1,0.525
14.2,0.4875
14.3,0.45
14.4,0.4125
14.5,0.375
14.6,0.45
14.7,0.525
14.8,0.6
14.9,0.675
15,0.75
15.1,0.675
15.2,0.6
15.3,0.525
15.4,0.45
15.5,0.375
15.6,0.3
15.7,0.225
15.8,0.15
15.9,0.075
16,0
16.1,0.1
16.2,0.2
16.3,0.3
16.4,0.4
16.5,0.5
16.6,0.6
16.7,0.7
16.8,0.8
16.9,0.9
17,1
17.1,1
17.2,1
17.3,1
17.4,1
17.5,1
17.6,0.95
17.7,0.9
17.8,0.85
17.9,0.8
18,0.75
18.1,0.7
18.2,0.65
18.3,0.6
18.4,0.55
18.5,0.5
18.6,0.6
18.7,0.7
18.8,0.8
18.9,0.9
19,1
19.1,0.9
19.2,0.8
19.3,0.7
19.4,0.6
19.5,0.5
19.6,0.4
19.7,0.3
19.8,0.2
19.9,0.1
20,0
20.1,0
20.2,0
20.3,0
20.4,0
20.5,0
20.6,0
20.7,0
20.8,0
20.9,0
21,0
21.1,0
21.2,0
21.3,0
21.4,0
21.5,0
21.6,0
21.7,0
21.8,0
21.9,0
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
22.6,0
22.7,0
22.8,0
22.9,0
23,0
23.1,0
23.2,0
23.3,0
23.4,0
23.5,0
23.6,0
23.7,0
23.8,0
23.9,0
24,0
24.1,0
24.2,0
24.3,0
24.4,0
24.5,0
24.6,0
24.7,0
24.8,0
24.9,0
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0.005
28.2,0.01
28.3,0.015
28.4,0.02
28.5,0.025
28.6,0.03
28.7,0.035
28.8,0.04
28.9,0.045
29,0.05
29.1,0.05
29.2,0.05
29.3,0.05
29.4,0.05
29.5,0.05
29.6,0.0475
29.7,0.045
29.8,0.0425
29.9,0.04
30,0.0375
30.1,0.035
30.2,0.0325
30.3,0.03
30.4,0.0275
30.5,0.025
30.6,0.03
30.7,0.035
30.8,0.04
30.9,0.045
31,0.05
31.1,0.045
31.2,0.04
31.3,0.035
31.4,0.03
31.5,0.025
31.6,0.02
31.7,0.015
31.8,0.01
31.9,0.005
32,0
32.1,0.005
32.2,0.01
32.3,0.015
32.4,0.02
32.5,0.025
32.6,0.03
32.7,0.035
32.8,0.04
32.9,0.045
33,0.05
33.1,0.05
33.2,0.05
33.3,0.05
33.4,0.05
33.5,0.05
33.6,0.0475
33.7,0.045
33.8,0.0425
33.9,0.04
34,0.0375
34.1,0.035
34.2,0.0325
34.3,0.03
34.4,0.0275
34.5,0.025
34.6,0.03
34.7,0.035
34.8,0.04
34.9,0.045
35,0.05
35.1,0.045
35.2,0.04
35.3,0.035
35.4,0.03
35.5,0.025
35.6,0.02
35.7,0.015
35.8,0.01
35.9,0.005
36,0
36.1,0.015
36.2,0.03
36.3,0.045
36.4,0.06
36.5,0.075
36.6,0.09
36.7,0.105
36.8,0.12
36.9,0.135
37,0.15
37.1,0.15
37.2,0.15
37.3,0.15
37.4,0.15
37.5,0.15
37.6,0.1425
37.7,0.135
37.8,0.1275
37.9,0.12
38,0.1125
38.1,0.105
38.2,0.0975
38.3,0.09
38.4,0.0825
38.5,0.075
38.6,0.09
38.7,0.105
38.8,0.12
38.9,0.135
39,0.15
39.1,0.135
39.2,0.12
39.3,0.105
39.4,0.09
39.5,0.075
39.6,0.06
39.7,0.045
39.8,0.03
39.9,0.015
40,0
40.1,0.015
40.2,0.03
40.3,0.045
40.4,0.06
40.5,0.075
40.6,0.09
40.7,0.105
40.8,0.12
40.9,0.135
41,0.15
41.1,0.15
41.2,0.15
41.3,0.15
41.4,0.15
41.5,0.15
41.6,0.1425
41.7,0.135
41.8,0.1275
41.9,0.12
42,0.1125
42.1,0.105
42.2,0.0975
42.3,0.09
42.4,0.0825
42.5,0.075
42.6,0.09
42.7,0.105
42.8,0.12
42.9,0.135
43,0.15
43.1,0.135
43.2,0.12
43.3,0.105
43.4,0.09
43.5,0.075
43.6,0.06
43.7,0.045
43.8,0.03
43.9,0.015
44,0
44.1,0.015
44.2,0.03
44.3,0.045
44.4,0.06
44.5,0.075
44.6,0.09
44.7,0.105
44.8,0.12
44.9,0.135
45,0.15
45.1,0.15
45.2,0.15
45.3,0.15
45.4,0.15
45.5,0.15
45.6,0.1425
45.7,0.135
45.8,0.1275
45.9,0.12
46,0.1125
46.1,0.105
46.2,0.0975
46.3,0.09
46.4,0.0825
